"package","firstDownload","lastDownload","totalDownloads"
"A3","2015-08-16","2016-10-02",7471
"abbyyR","2016-06-20","2016-10-02",1624
"abc","2015-05-05","2016-10-02",14434
"abc.data","2015-05-05","2016-10-02",13202
"ABCanalysis","2016-08-23","2016-10-02",577
"abcdeFBA","2012-10-06","2016-10-02",13758
"ABCoptim","2013-11-06","2016-10-02",12018
"ABCp2","2016-02-04","2016-10-02",2597
"abcrf","2016-06-03","2016-10-02",1271
"abctools","2016-01-14","2016-10-02",3012
"abd","2015-07-03","2016-10-02",14510
"abf2","2015-03-04","2016-10-02",6353
"ABHgenotypeR","2016-02-04","2016-10-02",2345
"abind","2016-07-21","2016-10-02",90446
"abn","2016-01-18","2016-10-02",4518
"abodOutlier","2015-08-31","2016-10-02",3744
"AbsFilterGSEA","2016-08-26","2016-10-02",291
"abundant","2013-07-06","2016-10-02",10801
"ACA","2016-03-10","2016-10-02",1376
"acc","2015-12-30","2016-10-02",2703
"accelerometry","2015-05-12","2016-10-02",6302
"accelmissing","2016-07-06","2016-10-02",661
"AcceptanceSampling","2015-07-09","2016-10-02",6328
"ACCLMA","2012-11-01","2016-10-02",13963
"accrual","2016-07-17","2016-10-02",767
"accrued","2016-08-24","2016-10-02",436
"ACD","2013-10-31","2016-10-02",12514
"ACDm","2016-07-16","2016-10-02",975
"acebayes","2016-08-05","2016-10-02",383
"acepack","2014-11-24","2016-10-02",877647
"ACEt","2016-09-10","2016-10-02",238
"acid","2016-02-01","2016-10-02",2318
"acm4r","2013-12-29","2016-10-02",9652
"acmeR","2015-09-10","2016-10-02",3560
"ACNE","2015-10-27","2016-10-02",4078
"acnr","2014-11-19","2016-10-02",6483
"acopula","2013-07-31","2016-10-02",10636
"acp","2015-12-04","2016-10-02",4368
"aCRM","2014-03-28","2016-10-02",9871
"AcrossTic","2016-08-15","2016-10-02",291
"acs","2016-03-18","2016-10-02",13122
"ACSNMineR","2016-09-01","2016-10-02",316
"acss","2014-11-25","2016-10-02",7167
"acss.data","2014-04-06","2016-10-02",8907
"ACSWR","2015-09-05","2016-10-02",3988
"ACTCD","2013-10-22","2016-10-02",11155
"Actigraphy","2016-01-15","2016-10-02",2888
"activity","2016-09-26","2016-10-02",119
"activpalProcessing","2016-03-28","2016-10-02",1274
"actuar","2016-07-13","2016-10-02",6080
"ActuDistns","2012-10-06","2016-10-02",17661
"ada","2016-05-13","2016-10-02",15140
"adabag","2015-10-14","2016-10-02",26701
"adagio","2016-05-29","2016-10-02",1740
"AdapEnetClass","2015-10-24","2016-10-02",3406
"adaptDA","2014-09-18","2016-10-02",7836
"AdaptFit","2012-11-01","2016-10-02",15133
"AdaptFitOS","2015-06-16","2016-10-02",5218
"AdaptGauss","2016-06-30","2016-10-02",1147
"AdaptiveSparsity","2014-01-03","2016-10-02",10477
"adaptivetau","2014-11-19","2016-10-02",8877
"adaptMCMC","2012-10-06","2016-10-02",13000
"adaptsmoFMRI","2013-01-19","2016-10-02",11349
"adaptTest","2012-10-06","2016-10-02",12973
"addhaz","2016-05-16","2016-10-02",917
"addhazard","2015-08-17","2016-10-02",3453
"addinslist","2016-09-29","2016-10-02",318
"additivityTests","2014-12-24","2016-10-02",7285
"addreg","2015-05-12","2016-10-02",4750
"ADDT","2014-09-26","2016-10-02",7582
"ade4","2016-03-01","2016-10-02",97339
"ade4TkGUI","2015-11-09","2016-10-02",8213
"adegenet","2016-02-15","2016-10-02",19546
"adegraphics","2016-03-02","2016-10-02",6242
"adehabitat","2015-07-22","2016-10-02",20338
"adehabitatHR","2015-07-22","2016-10-02",19136
"adehabitatHS","2015-07-22","2016-10-02",9565
"adehabitatLT","2016-08-31","2016-10-02",2857
"adehabitatMA","2016-08-31","2016-10-02",3256
"adephylo","2013-11-30","2016-10-02",18198
"AdequacyModel","2016-05-20","2016-10-02",2048
"adespatial","2016-09-13","2016-10-02",414
"ADGofTest","2012-10-06","2016-10-02",57521
"adhoc","2013-12-14","2016-10-02",11262
"adimpro","2016-09-15","2016-10-02",491
"adlift","2012-11-06","2016-10-02",16004
"ADM3","2013-12-03","2016-10-02",11098
"AdMit","2014-01-07","2016-10-02",16181
"admixturegraph","2016-08-16","2016-10-02",343
"ADMMnet","2015-12-12","2016-10-02",2610
"ADPclust","2015-12-03","2016-10-02",3088
"ads","2015-01-13","2016-10-02",12039
"AdvBinomApps","2016-04-07","2016-10-02",1315
"advclust","2016-09-04","2016-10-02",179
"adwave","2015-06-25","2016-10-02",4254
"AEDForecasting","2016-09-16","2016-10-02",232
"aemo","2016-08-21","2016-10-02",400
"AER","2015-06-06","2016-10-02",111141
"AF","2016-02-19","2016-10-02",2122
"afex","2016-04-04","2016-10-02",6205
"AFLPsim","2015-08-18","2016-10-02",4464
"AFM","2016-09-01","2016-10-02",345
"after","2016-07-10","2016-10-02",502
"aftgee","2014-11-13","2016-10-02",8508
"AGD","2015-05-28","2016-10-02",17097
"AggregateR","2015-11-23","2016-10-02",3255
"agop","2014-09-14","2016-10-02",8149
"agRee","2016-07-07","2016-10-02",897
"Agreement","2012-11-01","2016-10-02",13784
"agricolae","2016-06-13","2016-10-02",22349
"agridat","2015-06-29","2016-10-02",7575
"agrmt","2016-04-02","2016-10-02",1624
"AGSDest","2016-06-17","2016-10-02",1325
"agsemisc","2014-07-31","2016-10-02",8590
"ahaz","2013-06-03","2016-10-02",15500
"AhoCorasickTrie","2016-07-29","2016-10-02",343
"ahp","2016-02-09","2016-10-02",2125
